"Trial","Distance","PacketLossPct","DfsEvent","Timestamp"
"41","15-30","13,3333","False","2026-08-06T14:50:48.2710332+02:00"
"42","15-30","10","False","2026-08-06T14:51:19.7881758+02:00"
"43","15-30","13,3333","False","2026-08-06T14:51:53.0420613+02:00"
"44","15-30","3,33333","False","2026-08-06T14:52:24.6004489+02:00"
"45","15-30","13,3333","False","2026-08-06T14:52:57.8985840+02:00"
"46","15-30","0","False","2026-08-06T14:53:28.4621749+02:00"
"47","15-30","3,33333","False","2026-08-06T14:54:01.9370990+02:00"
"48","15-30","10","False","2026-08-06T14:54:33.5692525+02:00"
"49","15-30","6,66667","False","2026-08-06T14:55:06.8297380+02:00"
"50","15-30","36,6667","True","2026-08-06T14:55:38.6219833+02:00"
"51","15-30","3,33333","False","2026-08-06T14:56:11.9762779+02:00"
"52","15-30","0","False","2026-08-06T14:56:42.7637055+02:00"
"53","15-30","20","False","2026-08-06T14:57:16.3180776+02:00"
"54","15-30","10","False","2026-08-06T14:57:47.9492266+02:00"
"55","15-30","6,66667","False","2026-08-06T14:58:21.2942629+02:00"
"56","15-30","6,66667","False","2026-08-06T14:58:52.8993515+02:00"
"57","15-30","3,33333","False","2026-08-06T14:59:26.2214545+02:00"
"58","15-30","3,33333","False","2026-08-06T14:59:57.7357962+02:00"
"59","15-30","13,3333","False","2026-08-06T15:00:31.0632061+02:00"
"60","15-30","10","False","2026-08-06T15:01:02.7007651+02:00"
"61","15-30","0","False","2026-08-06T15:01:35.0399010+02:00"
"62","15-30","3,33333","False","2026-08-06T15:02:06.5384990+02:00"
"63","15-30","0","False","2026-08-06T15:02:38.9432388+02:00"
"64","15-30","13,3333","False","2026-08-06T15:03:10.5789637+02:00"
"65","15-30","3,33333","False","2026-08-06T15:03:43.8973794+02:00"
"66","15-30","16,6667","False","2026-08-06T15:04:15.4843376+02:00"
"67","15-30","3,33333","False","2026-08-06T15:04:48.8405379+02:00"
"68","15-30","10","False","2026-08-06T15:05:20.4562115+02:00"
"69","15-30","0","False","2026-08-06T15:05:52.8989830+02:00"
"70","15-30","13,3333","False","2026-08-06T15:06:24.4004079+02:00"
"71","15-30","3,33333","False","2026-08-06T15:06:57.7347453+02:00"
"72","15-30","6,66667","False","2026-08-06T15:07:29.3064209+02:00"
"73","15-30","6,66667","False","2026-08-06T15:08:02.5559924+02:00"
"74","15-30","6,66667","False","2026-08-06T15:08:34.1480527+02:00"
"75","15-30","0","False","2026-08-06T15:09:06.5395561+02:00"
"76","15-30","3,33333","False","2026-08-06T15:09:38.0373457+02:00"
"77","15-30","6,66667","False","2026-08-06T15:10:11.2274174+02:00"
"78","15-30","36,6667","True","2026-08-06T15:10:42.9389282+02:00"
"79","15-30","3,33333","False","2026-08-06T15:11:16.1642740+02:00"
"80","15-30","0","False","2026-08-06T15:11:46.7623539+02:00"
"81","15-30","3,33333","False","2026-08-06T15:12:20.3573397+02:00"
"82","15-30","6,66667","False","2026-08-06T15:12:51.9154683+02:00"
"83","15-30","0","False","2026-08-06T15:13:24.2289712+02:00"
"84","15-30","36,6667","True","2026-08-06T15:13:55.9770029+02:00"
"85","15-30","0","False","2026-08-06T15:14:28.1964858+02:00"
"86","15-30","6,66667","False","2026-08-06T15:14:59.7794579+02:00"
"87","15-30","0","False","2026-08-06T15:15:32.1192912+02:00"
"88","15-30","3,33333","False","2026-08-06T15:16:03.6929330+02:00"
"89","15-30","10","False","2026-08-06T15:16:37.0814628+02:00"
"90","15-30","10","False","2026-08-06T15:17:08.7846234+02:00"
"91","15-30","6,66667","False","2026-08-06T15:17:42.1904165+02:00"
"92","15-30","0","False","2026-08-06T15:18:12.8337441+02:00"
"93","15-30","3,33333","False","2026-08-06T15:18:47.1404226+02:00"
"94","15-30","0","False","2026-08-06T15:19:17.8358968+02:00"
"95","15-30","0","False","2026-08-06T15:19:50.4716120+02:00"
"96","15-30","0","False","2026-08-06T15:20:21.1275110+02:00"
"97","15-30","6,66667","False","2026-08-06T15:20:54.6489124+02:00"
"98","15-30","10","False","2026-08-06T15:21:26.2687507+02:00"
"99","15-30","33,3333","True","2026-08-06T15:22:00.1066709+02:00"
"100","15-30","6,66667","False","2026-08-06T15:22:31.6421535+02:00"
