"Trial","Distance","PacketLossPct","DfsEvent","Timestamp"
"79","30+","20","False","2026-08-06T16:06:40.4100514+02:00"
"80","30+","23,3333","False","2026-08-06T16:07:12.2693413+02:00"
"81","30+","30","False","2026-08-06T16:07:46.3653773+02:00"
"82","30+","16,6667","False","2026-08-06T16:08:18.2865059+02:00"
"83","30+","20","False","2026-08-06T16:08:52.5034931+02:00"
"84","30+","43,3333","False","2026-08-06T16:09:24.5180746+02:00"
"85","30+","43,3333","False","2026-08-06T16:09:58.6455023+02:00"
"86","30+","20","False","2026-08-06T16:10:30.5427433+02:00"
"87","30+","53,3333","True","2026-08-06T16:11:04.6655161+02:00"
"88","30+","13,3333","False","2026-08-06T16:11:36.4425063+02:00"
"89","30+","20","False","2026-08-06T16:12:10.4587264+02:00"
"90","30+","10","False","2026-08-06T16:12:42.3578195+02:00"
"91","30+","46,6667","False","2026-08-06T16:13:16.6246116+02:00"
"92","30+","16,6667","False","2026-08-06T16:13:48.4722707+02:00"
"93","30+","10","False","2026-08-06T16:14:22.5387173+02:00"
"94","30+","20","False","2026-08-06T16:14:54.4367360+02:00"
"95","30+","20","False","2026-08-06T16:15:28.5277930+02:00"
"96","30+","36,6667","False","2026-08-06T16:16:00.5383639+02:00"
"97","30+","6,66667","False","2026-08-06T16:16:34.6118403+02:00"
"98","30+","16,6667","False","2026-08-06T16:17:06.5716691+02:00"
"99","30+","0","False","2026-08-06T16:17:39.5977104+02:00"
"100","30+","13,3333","False","2026-08-06T16:18:11.5418698+02:00"
